image_name,box0_x1,box0_y1,box0_x2,box0_y2,box1_x1,box1_y1,box1_x2,box1_y2,box2_x1,box2_y1,box2_x2,box2_y2,box3_x1,box3_y1,box3_x2,box3_y2
19.jpg,,,,,,,,,627.0,363.0,797.0,480.0,461.0,407.0,595.0,666.0
20.jpg,,,,,,,,,642.0,353.0,833.0,458.0,506.0,318.0,644.0,449.0
21.jpg,,,,,,,,,587.0,380.0,764.0,483.0,437.0,336.0,585.0,466.0
22.jpg,,,,,,,,,575.0,386.0,747.0,488.0,420.0,341.0,572.0,469.0
23.jpg,,,,,,,,,622.0,363.0,793.0,476.0,497.0,336.0,626.0,455.0
24.jpg,,,,,,,,,612.0,390.0,783.0,498.0,449.0,320.0,599.0,447.0
25.jpg,,,,,,,,,600.0,392.0,768.0,507.0,441.0,329.0,594.0,466.0
26.jpg,,,,,,,,,625.0,379.0,792.0,492.0,489.0,346.0,615.0,462.0
27.jpg,,,,,,,,,605.0,399.0,770.0,508.0,455.0,366.0,599.0,486.0
28.jpg,,,,,,,,,616.0,399.0,751.0,504.0,441.0,346.0,617.0,476.0
29.jpg,,,,,,,,,583.0,404.0,766.0,517.0,451.0,371.0,603.0,476.0
30.jpg,,,,,568.0,654.0,816.0,719.0,643.0,403.0,825.0,513.0,513.0,375.0,672.0,488.0
31.jpg,,,,,,,,,598.0,382.0,755.0,498.0,468.0,371.0,614.0,475.0
32.jpg,,,,,,,,,608.0,370.0,747.0,494.0,391.0,367.0,518.0,503.0
33.jpg,,,,,,,,,600.0,355.0,729.0,490.0,457.0,324.0,621.0,451.0
34.jpg,,,,,759.0,560.0,990.0,719.0,697.0,345.0,840.0,480.0,559.0,349.0,722.0,449.0
35.jpg,,,,,,,,,592.0,376.0,767.0,508.0,441.0,371.0,569.0,494.0
36.jpg,,,,,,,,,676.0,409.0,795.0,549.0,406.0,413.0,541.0,575.0
37.jpg,,,,,,,,,630.0,470.0,778.0,595.0,449.0,446.0,613.0,575.0
38.jpg,,,,,,,,,645.0,436.0,780.0,574.0,447.0,386.0,638.0,531.0
39.jpg,,,,,,,,,651.0,407.0,785.0,548.0,423.0,395.0,589.0,565.0
40.jpg,,,,,,,,,695.0,441.0,813.0,616.0,389.0,424.0,551.0,577.0
41.jpg,,,,,729.0,689.0,776.0,718.0,658.0,470.0,805.0,631.0,298.0,452.0,434.0,606.0
42.jpg,344.0,560.0,541.0,717.0,697.0,552.0,884.0,719.0,638.0,461.0,789.0,587.0,319.0,411.0,499.0,591.0
43.jpg,445.0,623.0,643.0,719.0,650.0,659.0,844.0,719.0,716.0,409.0,858.0,574.0,313.0,408.0,448.0,564.0
44.jpg,404.0,631.0,610.0,719.0,629.0,654.0,805.0,719.0,604.0,452.0,791.0,607.0,445.0,429.0,581.0,561.0
45.jpg,501.0,561.0,675.0,719.0,711.0,640.0,772.0,715.0,642.0,432.0,834.0,582.0,502.0,386.0,638.0,553.0
46.jpg,488.0,557.0,668.0,718.0,693.0,652.0,741.0,719.0,630.0,433.0,829.0,591.0,503.0,396.0,625.0,560.0
47.jpg,525.0,518.0,726.0,717.0,683.0,634.0,760.0,719.0,645.0,412.0,845.0,569.0,503.0,371.0,638.0,531.0
48.jpg,431.0,557.0,701.0,717.0,633.0,642.0,767.0,719.0,719.0,416.0,908.0,571.0,567.0,378.0,696.0,552.0
49.jpg,254.0,503.0,537.0,715.0,716.0,634.0,865.0,719.0,686.0,412.0,873.0,562.0,532.0,371.0,679.0,538.0
50.jpg,228.0,539.0,465.0,715.0,700.0,634.0,859.0,718.0,646.0,402.0,818.0,565.0,493.0,370.0,619.0,548.0
51.jpg,251.0,531.0,473.0,693.0,693.0,636.0,844.0,719.0,634.0,404.0,828.0,557.0,488.0,379.0,625.0,540.0
52.jpg,357.0,683.0,503.0,717.0,,,,,713.0,376.0,887.0,533.0,505.0,346.0,643.0,496.0
53.jpg,416.0,659.0,617.0,719.0,724.0,487.0,966.0,714.0,746.0,390.0,948.0,519.0,530.0,350.0,671.0,499.0
54.jpg,432.0,664.0,628.0,719.0,742.0,507.0,998.0,718.0,783.0,351.0,946.0,513.0,536.0,325.0,676.0,486.0
55.jpg,433.0,625.0,675.0,718.0,824.0,654.0,1027.0,718.0,775.0,344.0,945.0,496.0,538.0,308.0,679.0,466.0
56.jpg,325.0,531.0,626.0,719.0,861.0,613.0,1105.0,719.0,819.0,340.0,995.0,491.0,579.0,297.0,723.0,453.0
57.jpg,335.0,468.0,606.0,701.0,538.0,362.0,898.0,657.0,924.0,338.0,1105.0,495.0,659.0,288.0,808.0,410.0
58.jpg,271.0,435.0,627.0,719.0,581.0,424.0,952.0,682.0,905.0,361.0,1111.0,508.0,659.0,285.0,813.0,434.0
59.jpg,158.0,466.0,500.0,718.0,620.0,452.0,895.0,707.0,725.0,342.0,927.0,496.0,526.0,324.0,709.0,484.0
60.jpg,,,,,,,,,606.0,283.0,815.0,404.0,509.0,276.0,630.0,385.0
61.jpg,,,,,683.0,681.0,822.0,714.0,642.0,328.0,838.0,454.0,488.0,299.0,642.0,430.0
62.jpg,,,,,525.0,609.0,783.0,719.0,720.0,341.0,906.0,447.0,551.0,314.0,705.0,437.0
63.jpg,,,,,565.0,563.0,825.0,714.0,721.0,349.0,910.0,461.0,544.0,318.0,708.0,441.0
64.jpg,,,,,523.0,584.0,796.0,715.0,712.0,349.0,898.0,469.0,539.0,316.0,721.0,441.0
65.jpg,,,,,662.0,507.0,895.0,717.0,707.0,371.0,896.0,483.0,532.0,322.0,692.0,437.0
66.jpg,341.0,693.0,394.0,715.0,571.0,598.0,832.0,717.0,695.0,359.0,895.0,475.0,540.0,318.0,697.0,440.0
67.jpg,247.0,663.0,362.0,719.0,608.0,531.0,871.0,713.0,769.0,341.0,966.0,458.0,572.0,295.0,726.0,424.0
68.jpg,,,,,554.0,623.0,784.0,719.0,707.0,367.0,887.0,488.0,436.0,353.0,555.0,524.0
69.jpg,,,,,759.0,515.0,966.0,718.0,713.0,373.0,898.0,495.0,447.0,369.0,565.0,573.0
70.jpg,,,,,612.0,700.0,669.0,719.0,658.0,362.0,834.0,470.0,499.0,362.0,643.0,560.0
71.jpg,,,,,630.0,704.0,664.0,719.0,617.0,363.0,800.0,483.0,444.0,340.0,615.0,509.0
72.jpg,,,,,684.0,692.0,731.0,718.0,591.0,367.0,768.0,475.0,440.0,284.0,580.0,408.0
73.jpg,,,,,660.0,705.0,705.0,719.0,613.0,362.0,767.0,466.0,439.0,287.0,594.0,420.0
74.jpg,,,,,,,,,581.0,365.0,751.0,475.0,420.0,296.0,580.0,428.0
75.jpg,,,,,,,,,583.0,361.0,754.0,470.0,420.0,299.0,581.0,429.0
76.jpg,,,,,,,,,621.0,408.0,782.0,527.0,457.0,370.0,618.0,495.0
77.jpg,,,,,659.0,687.0,716.0,719.0,620.0,386.0,800.0,502.0,451.0,325.0,605.0,458.0
78.jpg,,,,,,,,,612.0,378.0,792.0,496.0,374.0,388.0,523.0,602.0
79.jpg,,,,,654.0,681.0,745.0,719.0,583.0,351.0,771.0,465.0,345.0,379.0,499.0,622.0
80.jpg,,,,,653.0,688.0,741.0,718.0,596.0,359.0,782.0,467.0,342.0,370.0,495.0,620.0
81.jpg,,,,,,,,,613.0,367.0,791.0,479.0,397.0,259.0,526.0,371.0
82.jpg,,,,,812.0,615.0,1005.0,718.0,686.0,354.0,867.0,475.0,515.0,305.0,684.0,434.0
83.jpg,,,,,803.0,623.0,982.0,719.0,679.0,340.0,857.0,465.0,511.0,299.0,677.0,429.0
84.jpg,,,,,680.0,696.0,742.0,718.0,601.0,337.0,785.0,453.0,341.0,330.0,478.0,548.0
85.jpg,,,,,664.0,704.0,716.0,719.0,600.0,345.0,779.0,457.0,328.0,334.0,467.0,558.0
86.jpg,,,,,660.0,702.0,721.0,718.0,592.0,344.0,771.0,458.0,328.0,330.0,461.0,553.0
87.jpg,,,,,660.0,702.0,710.0,718.0,592.0,347.0,774.0,454.0,390.0,276.0,557.0,461.0
88.jpg,,,,,660.0,709.0,714.0,719.0,625.0,333.0,768.0,449.0,443.0,270.0,646.0,413.0
89.jpg,,,,,662.0,662.0,817.0,719.0,596.0,316.0,783.0,441.0,451.0,258.0,630.0,371.0
90.jpg,,,,,662.0,662.0,832.0,719.0,588.0,321.0,778.0,440.0,453.0,255.0,615.0,377.0
91.jpg,315.0,693.0,371.0,719.0,667.0,658.0,838.0,719.0,575.0,324.0,760.0,440.0,447.0,267.0,606.0,376.0
92.jpg,420.0,677.0,489.0,719.0,616.0,574.0,834.0,719.0,741.0,366.0,937.0,484.0,596.0,295.0,774.0,408.0
93.jpg,,,,,726.0,570.0,943.0,719.0,631.0,340.0,815.0,458.0,472.0,270.0,646.0,389.0
94.jpg,,,,,,,,,606.0,332.0,758.0,462.0,461.0,396.0,634.0,636.0
95.jpg,,,,,,,,,596.0,329.0,762.0,463.0,474.0,402.0,647.0,627.0
96.jpg,,,,,646.0,681.0,741.0,719.0,631.0,334.0,778.0,463.0,435.0,237.0,593.0,360.0
97.jpg,,,,,614.0,685.0,713.0,718.0,618.0,338.0,782.0,457.0,416.0,229.0,576.0,350.0
98.jpg,,,,,579.0,689.0,673.0,719.0,596.0,344.0,774.0,453.0,443.0,274.0,644.0,391.0
99.jpg,,,,,612.0,691.0,698.0,718.0,606.0,349.0,784.0,462.0,457.0,262.0,642.0,383.0
100.jpg,219.0,637.0,491.0,720.0,554.0,514.0,938.0,720.0,529.0,277.0,661.0,375.0,411.0,290.0,519.0,392.0
101.jpg,218.0,658.0,457.0,720.0,554.0,545.0,891.0,720.0,541.0,285.0,668.0,383.0,415.0,297.0,533.0,400.0
102.jpg,397.0,686.0,490.0,720.0,673.0,424.0,1005.0,720.0,611.0,267.0,743.0,368.0,475.0,261.0,601.0,365.0
103.jpg,396.0,688.0,501.0,720.0,638.0,478.0,955.0,720.0,610.0,250.0,739.0,357.0,464.0,251.0,600.0,353.0
104.jpg,314.0,651.0,439.0,720.0,616.0,498.0,878.0,717.0,593.0,256.0,722.0,358.0,456.0,260.0,586.0,355.0
105.jpg,264.0,633.0,394.0,717.0,617.0,482.0,909.0,720.0,568.0,261.0,699.0,360.0,438.0,267.0,553.0,360.0
106.jpg,319.0,662.0,489.0,720.0,641.0,640.0,839.0,720.0,550.0,268.0,679.0,369.0,404.0,282.0,546.0,378.0
107.jpg,294.0,633.0,446.0,720.0,627.0,619.0,832.0,720.0,552.0,264.0,671.0,361.0,397.0,271.0,526.0,369.0
108.jpg,240.0,592.0,496.0,720.0,535.0,566.0,817.0,720.0,520.0,218.0,657.0,315.0,358.0,247.0,494.0,346.0
109.jpg,222.0,567.0,486.0,720.0,513.0,538.0,824.0,719.0,522.0,268.0,664.0,406.0,340.0,228.0,469.0,325.0
110.jpg,216.0,577.0,491.0,720.0,513.0,533.0,825.0,720.0,511.0,267.0,656.0,439.0,333.0,226.0,464.0,318.0
111.jpg,304.0,661.0,387.0,720.0,617.0,502.0,855.0,719.0,525.0,306.0,656.0,410.0,378.0,311.0,493.0,422.0
112.jpg,286.0,647.0,376.0,720.0,592.0,509.0,817.0,720.0,518.0,304.0,647.0,400.0,371.0,309.0,494.0,414.0
113.jpg,300.0,669.0,394.0,720.0,577.0,516.0,891.0,720.0,535.0,290.0,663.0,390.0,404.0,293.0,536.0,393.0
114.jpg,118.0,661.0,291.0,717.0,645.0,574.0,871.0,720.0,593.0,360.0,775.0,499.0,411.0,315.0,533.0,412.0
115.jpg,278.0,652.0,387.0,720.0,699.0,503.0,928.0,692.0,550.0,253.0,695.0,357.0,425.0,245.0,537.0,357.0
116.jpg,193.0,583.0,525.0,720.0,698.0,352.0,944.0,593.0,511.0,193.0,656.0,289.0,390.0,196.0,508.0,298.0
117.jpg,,,,,625.0,405.0,1095.0,720.0,525.0,334.0,649.0,424.0,362.0,335.0,493.0,443.0
118.jpg,344.0,670.0,454.0,720.0,553.0,449.0,935.0,720.0,563.0,258.0,693.0,351.0,408.0,278.0,543.0,378.0
119.jpg,354.0,673.0,468.0,720.0,546.0,425.0,931.0,720.0,561.0,254.0,690.0,353.0,407.0,281.0,540.0,383.0
120.jpg,350.0,676.0,464.0,720.0,560.0,453.0,930.0,720.0,564.0,258.0,690.0,343.0,399.0,279.0,540.0,380.0
121.jpg,,,,,542.0,695.0,695.0,720.0,492.0,347.0,653.0,472.0,329.0,361.0,462.0,461.0
122.jpg,143.0,566.0,528.0,719.0,543.0,482.0,1023.0,720.0,465.0,117.0,658.0,254.0,357.0,153.0,490.0,262.0
123.jpg,254.0,597.0,505.0,720.0,570.0,527.0,966.0,720.0,500.0,186.0,660.0,296.0,376.0,201.0,498.0,311.0
124.jpg,259.0,598.0,511.0,720.0,535.0,477.0,900.0,720.0,514.0,203.0,658.0,310.0,371.0,208.0,489.0,325.0
125.jpg,307.0,684.0,490.0,719.0,549.0,573.0,845.0,720.0,547.0,264.0,682.0,357.0,410.0,258.0,528.0,369.0
126.jpg,209.0,616.0,468.0,720.0,319.0,520.0,777.0,720.0,585.0,160.0,715.0,254.0,336.0,135.0,500.0,290.0
127.jpg,236.0,545.0,590.0,720.0,499.0,453.0,807.0,720.0,528.0,201.0,675.0,300.0,404.0,222.0,537.0,323.0
128.jpg,265.0,590.0,500.0,720.0,553.0,517.0,848.0,720.0,550.0,245.0,693.0,350.0,419.0,277.0,561.0,361.0
129.jpg,422.0,693.0,521.0,720.0,751.0,535.0,998.0,717.0,667.0,368.0,789.0,481.0,536.0,349.0,663.0,451.0
130.jpg,,,,,682.0,609.0,855.0,720.0,734.0,247.0,853.0,400.0,514.0,360.0,643.0,470.0
131.jpg,340.0,640.0,478.0,720.0,659.0,566.0,864.0,720.0,755.0,0.0,853.0,95.0,497.0,310.0,629.0,408.0
132.jpg,202.0,499.0,498.0,720.0,609.0,460.0,785.0,660.0,589.0,249.0,734.0,353.0,460.0,243.0,582.0,353.0
133.jpg,202.0,501.0,482.0,720.0,559.0,530.0,843.0,720.0,541.0,190.0,679.0,300.0,406.0,194.0,537.0,294.0
134.jpg,193.0,514.0,450.0,720.0,577.0,528.0,850.0,720.0,543.0,197.0,676.0,294.0,399.0,193.0,535.0,294.0
135.jpg,193.0,505.0,443.0,720.0,571.0,528.0,855.0,720.0,557.0,197.0,682.0,290.0,400.0,190.0,529.0,290.0
136.jpg,251.0,576.0,490.0,720.0,603.0,602.0,894.0,720.0,591.0,199.0,731.0,300.0,406.0,257.0,533.0,342.0
137.jpg,304.0,674.0,507.0,720.0,752.0,674.0,850.0,720.0,632.0,240.0,761.0,357.0,410.0,317.0,526.0,401.0
138.jpg,,,,,,,,,641.0,297.0,775.0,418.0,403.0,329.0,529.0,432.0
139.jpg,,,,,,,,,566.0,416.0,725.0,595.0,397.0,327.0,522.0,440.0
140.jpg,,,,,,,,,539.0,321.0,678.0,426.0,407.0,332.0,535.0,435.0
141.jpg,,,,,,,,,550.0,396.0,703.0,503.0,421.0,386.0,547.0,508.0
142.jpg,138.0,524.0,486.0,719.0,620.0,420.0,1003.0,720.0,472.0,158.0,612.0,257.0,330.0,158.0,466.0,273.0
143.jpg,44.0,513.0,397.0,719.0,468.0,481.0,784.0,720.0,522.0,164.0,668.0,269.0,386.0,164.0,519.0,273.0
144.jpg,67.0,555.0,382.0,720.0,445.0,548.0,811.0,720.0,529.0,190.0,674.0,289.0,393.0,192.0,530.0,300.0
145.jpg,152.0,622.0,426.0,720.0,536.0,601.0,775.0,720.0,575.0,247.0,707.0,344.0,385.0,303.0,542.0,426.0
146.jpg,182.0,594.0,443.0,719.0,566.0,574.0,830.0,720.0,602.0,247.0,738.0,344.0,460.0,267.0,592.0,360.0
147.jpg,151.0,552.0,494.0,720.0,522.0,509.0,817.0,720.0,577.0,207.0,711.0,304.0,432.0,217.0,567.0,319.0
148.jpg,193.0,601.0,398.0,720.0,623.0,456.0,948.0,720.0,575.0,240.0,711.0,340.0,440.0,251.0,571.0,353.0
149.jpg,48.0,471.0,450.0,720.0,549.0,467.0,881.0,720.0,649.0,122.0,813.0,262.0,433.0,151.0,572.0,264.0
150.jpg,90.0,503.0,479.0,720.0,534.0,477.0,853.0,720.0,698.0,192.0,863.0,375.0,411.0,179.0,548.0,280.0
151.jpg,101.0,538.0,461.0,720.0,552.0,474.0,850.0,720.0,621.0,160.0,757.0,275.0,397.0,192.0,532.0,303.0
152.jpg,102.0,533.0,471.0,720.0,593.0,460.0,866.0,720.0,518.0,167.0,650.0,293.0,389.0,194.0,518.0,304.0
153.jpg,97.0,512.0,482.0,720.0,630.0,445.0,909.0,720.0,557.0,165.0,688.0,273.0,424.0,178.0,557.0,291.0
154.jpg,141.0,542.0,469.0,720.0,600.0,448.0,875.0,720.0,529.0,196.0,660.0,294.0,396.0,211.0,529.0,314.0
155.jpg,9.0,482.0,322.0,720.0,659.0,449.0,900.0,720.0,578.0,219.0,715.0,333.0,443.0,222.0,576.0,335.0
156.jpg,120.0,512.0,437.0,720.0,542.0,424.0,944.0,707.0,584.0,225.0,717.0,321.0,362.0,167.0,507.0,304.0
157.jpg,244.0,605.0,433.0,720.0,547.0,464.0,955.0,720.0,573.0,274.0,713.0,375.0,432.0,278.0,562.0,383.0
158.jpg,247.0,615.0,503.0,720.0,646.0,438.0,962.0,720.0,577.0,272.0,714.0,372.0,435.0,275.0,564.0,374.0
159.jpg,246.0,610.0,484.0,720.0,638.0,495.0,892.0,720.0,578.0,261.0,715.0,368.0,432.0,265.0,565.0,378.0
160.jpg,155.0,537.0,468.0,720.0,528.0,498.0,835.0,720.0,507.0,185.0,644.0,323.0,382.0,226.0,505.0,332.0
161.jpg,59.0,496.0,430.0,720.0,623.0,361.0,814.0,588.0,503.0,200.0,649.0,304.0,365.0,204.0,504.0,312.0
162.jpg,87.0,474.0,436.0,720.0,724.0,320.0,928.0,592.0,527.0,199.0,664.0,293.0,385.0,201.0,522.0,310.0
163.jpg,161.0,603.0,407.0,720.0,610.0,399.0,902.0,717.0,531.0,272.0,682.0,369.0,386.0,292.0,528.0,396.0
164.jpg,163.0,608.0,405.0,719.0,602.0,420.0,913.0,720.0,529.0,282.0,676.0,375.0,392.0,299.0,525.0,412.0
165.jpg,195.0,620.0,440.0,720.0,605.0,445.0,934.0,720.0,567.0,295.0,710.0,394.0,422.0,314.0,555.0,418.0
166.jpg,,,,,305.0,430.0,853.0,720.0,538.0,295.0,676.0,396.0,390.0,303.0,528.0,414.0
167.jpg,59.0,521.0,388.0,720.0,599.0,399.0,939.0,618.0,635.0,215.0,778.0,385.0,308.0,217.0,446.0,332.0
168.jpg,202.0,533.0,505.0,720.0,712.0,406.0,946.0,638.0,553.0,228.0,692.0,329.0,413.0,240.0,544.0,350.0
169.jpg,187.0,509.0,500.0,720.0,710.0,379.0,927.0,595.0,545.0,214.0,689.0,321.0,411.0,218.0,546.0,325.0
170.jpg,145.0,478.0,487.0,720.0,706.0,350.0,924.0,534.0,541.0,158.0,693.0,282.0,390.0,181.0,525.0,291.0
171.jpg,154.0,545.0,454.0,720.0,713.0,236.0,932.0,531.0,578.0,222.0,732.0,337.0,353.0,228.0,494.0,342.0
172.jpg,204.0,545.0,484.0,720.0,624.0,292.0,1055.0,550.0,641.0,267.0,786.0,379.0,426.0,261.0,561.0,376.0
173.jpg,140.0,549.0,458.0,720.0,527.0,357.0,850.0,645.0,573.0,224.0,732.0,344.0,349.0,215.0,487.0,333.0
174.jpg,126.0,583.0,414.0,720.0,571.0,325.0,971.0,611.0,721.0,295.0,853.0,371.0,351.0,268.0,486.0,382.0
175.jpg,59.0,526.0,398.0,720.0,546.0,233.0,984.0,522.0,552.0,194.0,679.0,300.0,325.0,219.0,459.0,343.0
176.jpg,184.0,544.0,523.0,720.0,582.0,321.0,978.0,585.0,502.0,206.0,667.0,340.0,386.0,232.0,515.0,346.0
177.jpg,165.0,541.0,468.0,720.0,719.0,364.0,963.0,621.0,509.0,211.0,654.0,323.0,374.0,219.0,507.0,329.0
178.jpg,169.0,538.0,497.0,720.0,724.0,366.0,974.0,616.0,517.0,211.0,654.0,323.0,375.0,217.0,519.0,329.0
179.jpg,151.0,537.0,469.0,720.0,773.0,318.0,977.0,609.0,529.0,213.0,696.0,348.0,382.0,228.0,533.0,340.0
180.jpg,13.0,455.0,522.0,720.0,556.0,275.0,934.0,496.0,577.0,139.0,729.0,248.0,426.0,143.0,576.0,257.0
181.jpg,158.0,363.0,494.0,710.0,532.0,215.0,903.0,444.0,609.0,69.0,754.0,182.0,413.0,76.0,558.0,190.0
182.jpg,88.0,463.0,462.0,720.0,536.0,336.0,910.0,571.0,568.0,154.0,745.0,272.0,411.0,171.0,557.0,280.0
183.jpg,193.0,534.0,494.0,720.0,570.0,354.0,971.0,610.0,753.0,247.0,907.0,414.0,433.0,233.0,567.0,339.0
184.jpg,214.0,566.0,487.0,720.0,559.0,370.0,952.0,620.0,712.0,236.0,862.0,418.0,407.0,251.0,550.0,355.0
185.jpg,189.0,567.0,455.0,720.0,635.0,489.0,894.0,713.0,571.0,256.0,718.0,361.0,418.0,251.0,561.0,374.0
186.jpg,272.0,633.0,439.0,720.0,634.0,315.0,967.0,616.0,557.0,257.0,718.0,360.0,404.0,258.0,542.0,371.0
187.jpg,162.0,531.0,468.0,720.0,650.0,228.0,981.0,542.0,566.0,261.0,699.0,461.0,365.0,226.0,500.0,343.0
188.jpg,123.0,507.0,412.0,720.0,664.0,219.0,983.0,528.0,536.0,208.0,695.0,344.0,371.0,228.0,500.0,340.0
189.jpg,172.0,520.0,441.0,720.0,517.0,313.0,882.0,584.0,566.0,200.0,713.0,305.0,428.0,217.0,553.0,337.0
190.jpg,326.0,654.0,571.0,720.0,585.0,338.0,974.0,600.0,559.0,229.0,697.0,332.0,431.0,242.0,557.0,351.0
191.jpg,247.0,603.0,536.0,720.0,641.0,313.0,939.0,618.0,585.0,232.0,697.0,301.0,432.0,239.0,560.0,357.0
192.jpg,253.0,613.0,387.0,720.0,595.0,480.0,859.0,703.0,563.0,240.0,700.0,347.0,432.0,250.0,560.0,361.0
193.jpg,184.0,590.0,448.0,720.0,717.0,411.0,949.0,671.0,560.0,251.0,706.0,354.0,435.0,260.0,568.0,369.0
194.jpg,119.0,496.0,437.0,719.0,638.0,346.0,856.0,543.0,532.0,150.0,670.0,255.0,396.0,165.0,532.0,286.0
195.jpg,140.0,456.0,475.0,720.0,705.0,354.0,934.0,572.0,714.0,190.0,857.0,357.0,422.0,168.0,554.0,280.0
196.jpg,143.0,492.0,457.0,720.0,703.0,364.0,938.0,624.0,724.0,103.0,923.0,307.0,436.0,199.0,562.0,318.0
197.jpg,159.0,559.0,462.0,720.0,685.0,434.0,920.0,660.0,575.0,238.0,721.0,342.0,431.0,263.0,575.0,367.0
198.jpg,205.0,603.0,471.0,720.0,822.0,336.0,1009.0,670.0,620.0,295.0,746.0,392.0,470.0,303.0,614.0,414.0
199.jpg,190.0,594.0,466.0,720.0,728.0,231.0,1005.0,628.0,,,,,457.0,289.0,564.0,396.0
200.jpg,251.0,678.0,511.0,719.0,586.0,680.0,646.0,719.0,573.0,4.0,737.0,126.0,404.0,2.0,568.0,111.0
201.jpg,,,,,,,,,544.0,74.0,725.0,198.0,387.0,34.0,540.0,179.0
202.jpg,,,,,,,,,594.0,116.0,750.0,204.0,416.0,55.0,576.0,187.0
203.jpg,,,,,,,,,548.0,82.0,714.0,189.0,387.0,4.0,572.0,143.0
204.jpg,359.0,699.0,417.0,719.0,,,,,567.0,40.0,727.0,155.0,402.0,150.0,521.0,329.0
205.jpg,236.0,405.0,515.0,634.0,,,,,525.0,171.0,716.0,283.0,340.0,159.0,492.0,353.0
206.jpg,198.0,377.0,424.0,552.0,,,,,486.0,146.0,678.0,253.0,298.0,235.0,439.0,378.0
207.jpg,152.0,305.0,394.0,605.0,,,,,569.0,114.0,742.0,247.0,317.0,218.0,449.0,353.0
208.jpg,266.0,635.0,511.0,719.0,537.0,686.0,761.0,719.0,539.0,40.0,731.0,158.0,296.0,154.0,439.0,327.0
209.jpg,251.0,680.0,519.0,719.0,537.0,697.0,587.0,719.0,565.0,61.0,748.0,175.0,338.0,57.0,481.0,189.0
210.jpg,304.0,697.0,502.0,719.0,,,,,529.0,72.0,733.0,204.0,361.0,27.0,532.0,166.0
211.jpg,,,,,,,,,546.0,99.0,742.0,223.0,385.0,174.0,523.0,308.0
212.jpg,287.0,659.0,475.0,719.0,,,,,531.0,89.0,725.0,202.0,346.0,15.0,534.0,141.0
213.jpg,168.0,642.0,328.0,719.0,,,,,455.0,72.0,634.0,187.0,228.0,4.0,320.0,35.0
214.jpg,179.0,640.0,322.0,719.0,,,,,459.0,76.0,640.0,194.0,266.0,4.0,456.0,96.0
215.jpg,173.0,638.0,303.0,719.0,,,,,465.0,76.0,636.0,191.0,274.0,2.0,447.0,102.0
216.jpg,141.0,665.0,375.0,719.0,,,,,474.0,110.0,655.0,230.0,319.0,46.0,479.0,179.0
217.jpg,224.0,373.0,489.0,704.0,,,,,465.0,127.0,646.0,266.0,298.0,129.0,458.0,257.0
218.jpg,,,,,,,,,512.0,150.0,674.0,268.0,315.0,180.0,500.0,291.0
219.jpg,,,,,,,,,510.0,154.0,670.0,268.0,327.0,178.0,502.0,300.0
220.jpg,,,,,558.0,383.0,801.0,689.0,550.0,131.0,754.0,272.0,467.0,133.0,661.0,236.0
221.jpg,,,,,605.0,441.0,860.0,719.0,569.0,152.0,744.0,283.0,461.0,148.0,651.0,266.0
222.jpg,268.0,665.0,496.0,719.0,567.0,693.0,621.0,719.0,533.0,152.0,729.0,268.0,391.0,154.0,523.0,261.0
223.jpg,,,,,499.0,521.0,786.0,719.0,556.0,6.0,759.0,69.0,391.0,4.0,542.0,94.0
